Nutrient,Age_Group,Gender,RDA,Unit
Choline,51-70,Female,425,mg
Choline,> 70,Female,425,mg
Moisture,14-18,Male,3.3,L
Moisture,19-30,Male,3.7,L
Moisture,31-50,Male,3.7,L
Moisture,51-70,Male,3.7,L
Moisture,> 70,Male,3.7,L
Moisture,14-18,Female,2.3,L
Moisture,19-30,Female,2.7,L
Moisture,31-50,Female,2.7,L
Moisture,51-70,Female,2.7,L
Moisture,> 70,Female,2.7,L
Carbohydrate,14-18,Male,130,g
Carbohydrate,19-30,Male,130,g
Carbohydrate,31-50,Male,130,g
Carbohydrate,51-70,Male,130,g
Carbohydrate,> 70,Male,130,g
Carbohydrate,14-18,Female,130,g
Carbohydrate,19-30,Female,130,g
Carbohydrate,31-50,Female,130,g
Carbohydrate,51-70,Female,130,g
Carbohydrate,> 70,Female,130,g
Dietary Fiber,14-18,Male,38,g
Dietary Fiber,19-30,Male,38,g
Dietary Fiber,31-50,Male,38,g
Dietary Fiber,51-70,Male,30,g
Dietary Fiber,> 70,Male,30,g
Dietary Fiber,14-18,Female,26,g
Dietary Fiber,19-30,Female,25,g
Dietary Fiber,31-50,Female,25,g
Dietary Fiber,51-70,Female,21,g
Dietary Fiber,> 70,Female,21,g
Cis ω-6 Fatty acids,14-18,Male,16,g
Cis ω-6 Fatty acids,19-30,Male,17,g
Cis ω-6 Fatty acids,31-50,Male,17,g
Cis ω-6 Fatty acids,51-70,Male,14,g
Cis ω-6 Fatty acids,> 70,Male,14,g
Cis ω-6 Fatty acids,14-18,Female,11,g
Cis ω-6 Fatty acids,19-30,Female,12,g
Cis ω-6 Fatty acids,31-50,Female,12,g
Cis ω-6 Fatty acids,51-70,Female,11,g
Cis ω-6 Fatty acids,> 70,Female,11,g
Cis ω-3 Fatty acids,14-18,Male,1.6,g
Cis ω-3 Fatty acids,19-30,Male,1.6,g
Cis ω-3 Fatty acids,31-50,Male,1.6,g
Cis ω-3 Fatty acids,51-70,Male,1.6,g
Cis ω-3 Fatty acids,> 70,Male,1.6,g
Cis ω-3 Fatty acids,14-18,Female,1.1,g
Cis ω-3 Fatty acids,19-30,Female,1.1,g
Cis ω-3 Fatty acids,31-50,Female,1.1,g
Cis ω-3 Fatty acids,51-70,Female,1.1,g
Cis ω-3 Fatty acids,> 70,Female,1.1,g
Protein,14-18,Male,52,g
Protein,19-30,Male,56,g
Protein,31-50,Male,56,g
Protein,51-70,Male,56,g
Protein,> 70,Male,56,g
Protein,14-18,Female,46,g
Protein,19-30,Female,46,g
Protein,31-50,Female,46,g
Protein,51-70,Female,46,g
Protein,> 70,Female,46,g
Calcium (Ca),14-18,Male,1100,mg
Calcium (Ca),19-30,Male,800,mg
Calcium (Ca),31-50,Male,800,mg
Calcium (Ca),51-70,Male,800,mg
Calcium (Ca),> 70,Male,1000,mg
Calcium (Ca),14-18,Female,1100,mg
Calcium (Ca),19-30,Female,800,mg
Calcium (Ca),31-50,Female,800,mg
Calcium (Ca),51-70,Female,1000,mg
Calcium (Ca),> 70,Female,1000,mg
Iron (Fe),14-18,Male,7.7,mg
Iron (Fe),19-30,Male,6,mg
Iron (Fe),31-50,Male,6,mg
Iron (Fe),51-70,Male,6,mg
Iron (Fe),> 70,Male,6,mg
Iron (Fe),14-18,Female,7.9,mg
Iron (Fe),19-30,Female,8.1,mg
Iron (Fe),31-50,Female,8.1,mg
Iron (Fe),51-70,Female,5,mg
Iron (Fe),> 70,Female,5,mg
Magnesium (Mg),14-18,Male,340,mg
Magnesium (Mg),19-30,Male,330,mg
Magnesium (Mg),31-50,Male,350,mg
Magnesium (Mg),51-70,Male,350,mg
Magnesium (Mg),> 70,Male,350,mg
Magnesium (Mg),14-18,Female,300,mg
Magnesium (Mg),19-30,Female,255,mg
Magnesium (Mg),31-50,Female,265,mg
Magnesium (Mg),51-70,Female,265,mg
Magnesium (Mg),> 70,Female,265,mg
