code,english_name,bangla_name,edible_portion_coefficient,energy_kcal,energy_kj,water_g,protein_g,fat_g,carbohydrate_available_g,total_dietary_fibre_g,ash_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,vitamin_a_mcg,retinol_mcg,beta_carotene_equiv_mcg,vitamin_d_mcg,vitamin_e_mg,thiamin_mg,riboflavin_mg,niacin_equiv_mg,vitamin_b6_mg,folate_mcg,vitamin_c_mg,source_pages
01_0014,Rice BR-16 parboiled milled ,বিআর-১৬ সিদ্ধ চাল,1,346,1470,11.8,6.2,0.3,77.9,3.4,0.5,2,0.7,43,127,147,2,1.33,0.2,0,0,0,0,0.08,0.1,0.03,1.8,0.148,11,0,"31,32,33"
01_0015,Rice BR-26 parboiled milled ,বিআর-২৬ সিদ্ধ চাল,1,346,1470,11.7,8.4,0.4,75.5,3.4,0.6,2,0.7,43,127,147,2,1.33,0.2,0,0,0,0,0.11,0.09,0.03,1.7,0.171,11,0,"31,32,33"
01_0016,Rice BR-3 parboiled milled ,বিআর-৩ সিদ্ধ চাল,1,344,1460,12,7.1,0.2,76.8,3.4,0.5,2,0.7,43,126,146,2,1.32,0.2,-3,0,0,0,0,0.04,0.02,0.6,0.169,11,0,"31,32,33"
01_0017,Rice BRRI Dhan-30 parboiled milled raw,বিআরআরআই ধান-৩০ সিদ্ধ চাল,1,349,1480,10.9,6.9,0.3,77.9,3.4,0.6,2,0.7,44,128,148,2,1.34,0.2,0,0,0,0,0.08,0.11,0.06,1.8,0.169,11,0,"31,32,33"
01_0018,Rice BRRI Dhan-40 parboiled milled raw,বিআরআরআই ধান-৪০ সিদ্ধ চাল,1,349,1480,10.8,7,0.3,77.9,3.4,0.6,2,0.7,44,128,148,2,1.34,0.2,0,0,0,0,0.08,0.09,0.06,1.2,0.172,11,0,"31,32,33"
01_0019,Rice bran ,চালের কুঁড়া,1,398,1660,6.1,13.4,20.9,28.6,21,10,59,18.5,994,1379,1155,5,6.04,0.73,0,0,0,0,4.92,2.26,0.22,41.8,4.07,63,0,"31,32,33"
01_0020,Chal siddha dhekichata,ঢেকিছাটা সিদ্ধ চাল ,1,348,1480,12.6,7.6,2.3,72.4,3.8,1.3,10,2.8,52,246,202,5,1.9,0.36,,,,,,,,,,,,"31,32,33"
01_0021,Chal lal siddha kolechata,কোলেছাটা সিদ্ধ চাল,1,350,1480,12.4,7.8,2.4,72.3,3.8,1.3,12,1,52,255,326,5,1.9,0.36,0,0,0,0,0.68,0.27,0.07,6.8,0.62,49,0,"31,32,33"
01_0022,Rice popped,খই,1,380,1620,3.9,7.1,0.1,87,1.4,0.4,10,0.7,47,138,160,5,0.87,0.21,0,0,0,0,0.1,0.21,0.27,3.5,0,12,0,"31,32,33"
01_0023,Rice puffed salted,মুড়ি,1,361,1540,7.3,6.7,0.1,82.7,1.4,1.8,9,0.7,45,133,154,650,0.84,0.2,,,,,,,,,,,,"31,32,33"
01_0024,Rice white sunned aromatic milled ,সুগন্ধি আতপ চাল ,1,343,1460,12.8,6.7,0.7,76.1,3.1,0.7,10,0.9,43,126,113,5,1.09,0.14,,,,,,,,,,,,"31,32,33"
01_0025,Rice white sunned polished ,পলিশড আতপ চাল  ,1,345,1460,12.2,6.6,0.3,77.4,3.1,0.4,5,0.9,43,126,109,5,1.09,0.14,,,,,,,,,,,,"34,35,36"
01_0026,Semolina wheat ,সুজি,1,346,1470,12.8,10.9,1.4,70.6,3.9,0.5,17,1.1,40,105,158,5,2.18,0.25,0,0,0,0,0.1,0.18,0.05,4,0.085,57,0,"34,35,36"
01_0027,Sorghum ,জোয়ার,1,350,1480,11.9,10.1,3.3,66.9,6.3,1.5,25,5.8,290,222,350,6,1.6,0.46,,,,,,,,,,,,"34,35,36"
01_0028,Sweet corn yellow on the cob ,কাঁচা ভুট্টা,0.47,147,621,62.9,3.5,1.4,28.7,2.8,0.8,5,0.7,30,112,228,2,0.8,0.13,,,,,,,,,,,,"34,35,36"
01_0029,Vermicelli wheat ,সেমাই,1,347,1470,11.7,8.9,0.6,74.9,3.2,0.7,22,2,42,92,140,8,1.38,0.29,0,0,0,0,0.11,0.19,0.05,3.4,0.142,18,0,"34,35,36"
01_0030,Wheat flour brown whole grain,সাদা আটা ,1,334,1410,12.3,11.3,2.1,62.2,10.7,1.5,52,4.9,151,306,284,16,3.02,0.53,,,,,,,,,,,,"34,35,36"
01_0031,Wheat flour white,সাদা প্যাকেট আটা,1,347,1470,12.2,10.6,1.6,70.3,4.4,0.8,13,3.8,58,140,210,10,1.55,0.19,0,0,0,0,0.43,0.13,0.05,4,0.099,20,0,"34,35,36"
01_0032,Wheat flour white refined,ময়দা,1,346,1470,12.8,9.8,1,73.1,2.7,0.6,13,2.7,58,140,210,10,1.55,0.19,0,0,0,0,0.06,0.12,0.07,4,0.044,20,0,"34,35,36"
