source,code,name,lang,lang_bn,grup,enerc_kcal,water,protcnt,fatce,cho,fibtg,ash,ca,fe,mg,p,k,na,zn,cu,vita,retol,cartbeq,vitd,vite,thia,ribf,nia,vitb6c,folsum,vitc
FCT_2014,03_0034,"Cabbage, boiled (without salt)",Gajar,বাঁধাকপি সিদ্ধ (লবণ ছাড়া),Other Vegetables,27,91.7,1.7,0.4,2.9,2.8,0.5,0.035,0.0005,0.012,0.031,0.097,0.009,0.00034,3e-05,5e-06,,6e-05,,0.00023,4e-05,4e-05,0.0004,0.000115,2.4e-05,0.0073
FCT_2014,03_0008,"Carrot, raw",Chalkumra,গাজর,Other Vegetables,34,89.7,0.9,0.3,6,2.6,0.6,0.026,0.0004,0.016,0.035,0.145,0.054,7e-05,0.00023,0.000329,,0.00628,,0.00055,4e-05,9e-05,0.0011,0.000133,1.5e-05,0.0014
FCT_2014,03_0035,"Carrot, boiled (without salt)",Gajar siddho,গাজর সিদ্ধ (লবণ ছাড়া),Other Vegetables,43,87.3,1.1,0.3,7.3,3.1,0.7,0.034,0.0005,0.014,0.039,0.081,0.04,7e-05,0.00026,0.000364,,0.00696,,0.00068,4e-05,7e-05,0.001,0.000115,9e-06,0.0007
FCT_2014,03_0009,"Cauliflower, raw",Phul kopi,ফুলকপি,Other Vegetables,27,91.8,2.6,0.3,2.5,2,0.8,0.033,0.0008,0.022,0.044,0.299,0.02,0.00041,3e-05,1e-06,,8e-06,,0.00022,3e-05,3e-05,0.0011,0.000184,5.7e-05,0.0727
FCT_2014,03_0036,"Cauliflower, boiled (without salt)",Phulkopi,ফুলকপি সিদ্ধ (লবণ ছাড়া),Other Vegetables,28,91.4,2.7,0.3,2.7,2.1,0.8,0.036,0.0008,0.02,0.042,0.214,0.018,0.00037,2e-05,1e-06,,8e-06,,0.00022,2e-05,2e-05,0.0007,0.000135,3.2e-05,0.0466
FCT_2014,03_0010,"Chilli, green, with seeds, raw",Lau,কাচা মরিচ,Other Vegetables,45,85.5,2.8,0.1,5.9,4.7,1,0.022,0.0016,0.043,0.03,0.282,0.012,0.00197,0.00087,1e-05,,0.000115,,0.00029,3e-05,5e-05,0.0013,0.00023,1e-05,0.1023
FCT_2014,03_0011,"Cowpea, pods and seeds, raw",Barbati,বরবটি,Other Vegetables,39,87,3,0.4,2.8,6,0.8,0.054,0.0005,0.051,0.053,0.431,0.023,0.00101,0.00013,8e-06,,0.000101,,,0.00014,3e-05,0.002,6.7e-05,0.000168,
FCT_2014,03_0037,"Cowpea, boiled (without salt)",Phulkopi siddho,বরবটি সিদ্ধ (লবণ ছাড়া),Other Vegetables,40,86.5,3.1,0.4,3,6.3,0.8,0.054,0.0005,0.043,0.05,0.306,0.02,0.0009,0.00012,8e-06,,0.000101,,,0.0001,2e-05,0.0014,4.9e-05,9.5e-05,
FCT_2014,03_0012,"Cucumber, peeled, raw",Sheem siddho,শসা,Other Vegetables,17,95.1,0.8,0.1,2.9,0.7,0.4,0.013,0.0006,0.012,0.017,0.105,0.002,0.00017,5e-05,4e-06,,4.4e-05,,7e-05,0.00016,2e-05,0.0003,5.1e-05,1.4e-05,0.0072
FCT_2014,03_0013,"Drumstick, pods, raw",Korola,সজনে ডাটা,Other Vegetables,43,85.2,2.9,0.2,5.1,4.8,1.9,0.024,0.0002,0.028,0.11,0.259,0.042,0.00016,1e-05,2.6e-05,,0.000311,,,4e-05,4e-05,0.0006,0.00012,4.4e-05,0.0699
FCT_2014,03_0014,"Garlic, raw",Korola siddho,রসুন,Other Vegetables,147,61.6,6.9,0.6,27.6,2.1,1.3,0.025,0.0016,0.025,0.162,0.511,0.011,0.00108,0.00018,,,,,8e-05,0.00013,0.00012,0.0024,0.001235,4e-06,0.0241
FCT_2014,03_0015,"Gourd, ash, raw",Kumro,চালকুমড়া,Other Vegetables,10,96.5,0.4,0.1,1,1.7,0.3,0.03,0.0008,0.017,0.014,0.139,0.039,0.0001,2e-05,,,3e-06,,,6e-05,1e-05,0.0004,4.3e-05,1.6e-05,0.031
FCT_2014,03_0016,"Gourd, bitter, raw",Korola,করলা,Other Vegetables,31,90.4,2.1,0.3,3.6,2.6,1.1,0.016,0.0018,0.031,0.02,0.182,0.036,0.00035,0.00027,2.4e-05,,0.000285,,,5e-05,3e-05,0.0007,,4.5e-05,0.0906
FCT_2014,03_0047,"Gourd, bitter, boiled (without salt)",Shalgom siddho,করলা সিদ্ধ (লবণ ছাড়া),Other Vegetables,35,89,2.3,0.4,4.1,3,1.2,0.02,0.0018,0.029,0.02,0.141,0.033,0.00034,0.00026,2.6e-05,,0.000311,,,4e-05,3e-05,0.0005,,2.8e-05,0.0628
FCT_2014,03_0048,"Gourd, bitter, fry",korola vaji,উচ্ছে বা করলা ভাজি,Other Vegetables,130,74,3.1,9.1,7.1,4.1,2.7,0.027,0.0029,0.048,0.034,0.304,0.469,0.00061,0.00044,3e-05,,0.000305,,0.00031,7e-05,6e-05,0.0006,4.1e-05,4.5e-05,0.1032
FCT_2014,03_0017,"Gourd, bottle, raw",law,লাউ,Other Vegetables,34,90.8,1.1,0.1,6.8,0.6,0.6,0.026,0.0007,0.011,0.053,0.15,0.039,0.00058,0.00016,1e-06,,1.7e-05,,,1e-05,2e-05,0.0004,4e-05,6e-06,0.0087
FCT_2014,03_0018,"Gourd, pointed, raw",Chichinga siddho,পটল,Other Vegetables,24,92.6,2,0.3,2.2,2.2,0.5,0.016,0.0017,0.015,0.018,0.148,0.028,0.0004,0.00017,5e-06,,6.5e-05,,,0.00017,3e-05,0.0008,4e-05,1.6e-05,0.0194
FCT_2014,03_0038,"Gourd, pointed, boiled (without salt)",Badhakopi,পটল সিদ্ধ (লবণ ছাড়া),Other Vegetables,28,91.6,2.3,0.4,2.5,2.5,0.6,0.02,0.0017,0.015,0.018,0.115,0.026,0.00039,0.00017,6e-06,,7e-05,,,0.00013,3e-05,0.0006,3e-05,1e-05,0.0135
FCT_2014,03_0019,"Gourd, ridge, raw",Dhundul,ঝিঙ্গা বা ঝিঙে,Other Vegetables,29,92.4,1.3,0.4,4.6,1.1,0.3,0.021,0.0013,0.014,0.032,0.139,0.039,0.0005,0.00023,2e-06,,2.6e-05,,0.0001,0.00011,3e-05,0.0005,4.3e-05,7e-06,0.0046
FCT_2014,03_0020,"Gourd, snake, raw",Chichinga,চিচিঙ্গা,Other Vegetables,24,93.4,0.5,0.3,4.5,0.8,0.5,0.031,0.0004,0.017,0.028,0.155,0.039,0.00032,0.00018,,,,,,4e-05,6e-05,0.0008,4e-05,1.6e-05,0.0188
FCT_2014,03_0021,"Gourd, sponge, raw",Jhinga,ধুন্দল বা ধুঁধুল,Other Vegetables,24,92.9,0.9,0.2,4.3,1.1,0.7,0.019,0.0006,0.014,0.032,0.139,0.039,0.0005,0.00023,,,,,0.0001,3e-05,1e-05,0.0002,4.3e-05,7e-06,0.0062
FCT_2014,03_0022,"Gourd, teasle, raw",Jhinga siddho,কাঁকরোল,Other Vegetables,61,83.7,1.9,0.5,11.8,1.1,1.1,0.027,0.0026,0.02,0.026,0.186,0.052,0.00048,0.0001,1.4e-05,,0.000163,,0.00023,8e-05,6e-05,0.0008,4.3e-05,1.6e-05,0.1428
FCT_2014,03_0039,"Gourd, teasle, boiled (without salt)",Badhakopi siddho,কাঁকরোল সিদ্ধ (লবণ ছাড়া),Other Vegetables,69,81.5,2.2,0.5,13.4,1.3,1.2,0.031,0.0026,0.019,0.027,0.144,0.046,0.00046,0.0001,1.5e-05,,0.000178,,0.00026,6e-05,5e-05,0.0006,3.4e-05,1e-05,0.099
FCT_2014,03_0023,"Okra/ladies finger, raw",Dherosh,ঢেঁড়স,Other Vegetables,39,87.7,2.1,0.2,5.7,3.1,1.1,0.093,0.0009,0.02,0.028,0.178,0.037,0.00034,8e-05,1.9e-05,,0.000227,,0.00027,4e-05,0.00016,0.0014,0.000215,6e-05,0.0175
FCT_2014,03_0040,"Okra/ladies finger, boiled (without salt)",Kheera,ঢেঁড়স সিদ্ধ (লবণ ছাড়া),Other Vegetables,32,90,1.7,0.1,4.7,2.5,0.9,0.072,0.0007,0.013,0.021,0.099,0.024,0.00023,6e-05,1.5e-05,,0.000177,,0.00021,2e-05,0.0001,0.0008,0.000123,2.6e-05,0.0087
FCT_2014,03_0046,Lady's finger-tomato bhuna,Shalgom,ঢেঁড়স-টমেটো ভুনা,Other Vegetables,127,72.1,3.4,7.4,9,5,3.1,0.128,0.0014,0.031,0.05,0.319,0.565,0.00067,0.00053,2.6e-05,,0.000299,,0.00081,6e-05,0.00022,0.0015,0.000297,6e-05,0.0245
FCT_2014,03_0024,"Onion, raw",Mocha,পেঁয়াজ,Other Vegetables,59,83.7,1.4,0.1,12.2,1.9,0.7,0.024,0.0009,0.024,0.029,0.21,0.011,0.00041,0.00036,2e-06,,2.3e-05,,2e-05,5e-05,0.00014,0.0003,0.000168,1.9e-05,0.0045
FCT_2014,03_0025,"Papaya, unripe, raw",Pempe (Kacha),কাঁচা পেঁপে,Other Vegetables,30,90.6,0.8,0.1,5.7,1.5,1.3,0.015,0.0006,0.056,0.015,0.129,0.007,0.00022,2e-05,1e-06,,7e-06,,,3e-05,2e-05,0.0002,,,0.0186
FCT_2014,03_0041,"Papaya, unripe, boiled (without salt)",Okra,কাঁচা পেঁপে সিদ্ধ (লবণ ছাড়া),Other Vegetables,32,89.9,0.8,0.1,6.1,1.6,1.4,0.017,0.0006,0.048,0.015,0.094,0.008,0.0002,2e-05,1e-06,,7e-06,,,2e-05,2e-05,0.0001,,,0.0122
FCT_2014,03_0026,"Peas, raw",Motor shuti,মটরশুঁটি,Other Vegetables,91,74.3,7,0.4,12.5,5.1,0.9,0.043,0.0016,0.047,0.108,0.244,0.005,0.00124,0.00018,3.8e-05,,0.000455,,0.00013,0.0004,0.00014,0.0028,0.000169,6.5e-05,0.0076
FCT_2014,03_0027,"Plantain, raw",Kacha papi,কাঁচা কলা,Other Vegetables,77,78.9,2,0.3,15.5,2.3,1,0.022,0.0006,0.028,0.021,0.242,0.004,0.00014,8e-05,5.6e-05,,0.000676,,0.00014,9e-05,6e-05,0.0009,0.000299,2.2e-05,0.0073
FCT_2014,03_0042,"Plantain, boiled (without salt)",Okra siddho,কাঁচা কলা সিদ্ধ (লবণ ছাড়া),Other Vegetables,76,79.3,1.9,0.3,15.2,2.3,1,0.022,0.0006,0.023,0.018,0.161,0.005,0.00012,7e-05,5.3e-05,,0.000636,,0.00013,6e-05,4e-05,0.0006,0.000205,1.2e-05,0.0043
FCT_2014,03_0028,"Pumpkin, raw",Kumra,মিষ্টি কুমড়া বা মিষ্টি লাউ,Other Vegetables,18,93.9,1.4,0.3,1.3,2.4,0.7,0.052,0.0007,0.01,0.016,0.349,0.008,0.00011,0.00021,0.000369,,0.00443,,0.00106,7e-05,6e-05,0.0008,6.1e-05,1.6e-05,0.0211
FCT_2014,03_0043,"Pumpkin, boiled (without salt)",Mushroom,মিষ্টি কুমড়া সিদ্ধ (লবণ ছাড়া),Other Vegetables,29,90.4,2.2,0.5,2.1,3.8,1.1,0.079,0.0011,0.014,0.023,0.371,0.013,0.00014,0.00028,0.000554,,0.00664,,0.00161,8e-05,7e-05,0.0008,6.7e-05,1.4e-05,0.0201
FCT_2014,03_0029,"Radish, raw",Kumra siddho,মুলা,Other Vegetables,18,94.3,0.9,0.1,2.5,1.6,0.6,0.024,0.0004,0.015,0.023,0.142,0.04,0.00038,3e-05,,,,,,0.00043,,0.0005,7.1e-05,2.5e-05,0.0173
FCT_2014,03_0044,"Radish, boiled (without salt)",Dheki shak,মুলা সিদ্ধ (লবণ ছাড়া),Other Vegetables,24,92.4,1.2,0.1,3.3,2.1,0.8,0.035,0.0005,0.014,0.028,0.086,0.033,0.00038,4e-05,,,,,,0.0004,,0.0004,6.6e-05,1.7e-05,0.0092
FCT_2014,03_0030,"Tomato, green, raw",Kacha Tomato,কাঁচা টমেটো,Other Vegetables,23,93.3,1.9,0.2,2.5,1.7,0.4,0.016,0.0003,0.007,0.028,0.156,0.007,0.00019,0.0003,,,,,0.00038,7e-05,1e-05,0.0006,4.8e-05,9e-06,0.0306
FCT_2014,03_0031,"Tomato, red, ripe, raw",Tomato siddho,পাকা টমেটো,Other Vegetables,16,95,1.1,0.2,1.4,1.7,0.5,0.013,0.0002,0.007,0.024,0.156,0.007,0.00041,0.00097,9e-06,,0.000104,,0.00054,4e-05,4e-05,0.0006,4.9e-05,1.5e-05,0.0123
FCT_2014,03_0045,"Tomato, red, ripe, boiled (without salt)",Dheki shak siddho,পাকা টমেটো সিদ্ধ (লবণ ছাড়া),Other Vegetables,30,90.6,2.1,0.5,2.7,3.1,1,0.024,0.0004,0.012,0.041,0.2,0.011,0.00066,0.00155,1.6e-05,,0.000187,,0.00098,5e-05,5e-05,0.0007,6.4e-05,1.5e-05,0.0141
FCT_2014,03_0032,"Turnip, raw",Begun,শালগম,Other Vegetables,26,92.1,1.1,0.2,4.1,1.8,0.7,0.032,0.0004,0.01,0.034,0.236,0.041,0.00052,5e-05,,,,,3e-05,4e-05,2e-05,0.0006,9e-05,1.5e-05,0.0247
FCT_2014,04_0001,"Agathi, raw",Amaranth shak,বকফুলের শাক,Green Leafy Vegetables,88,73.1,8.4,1.8,5.7,7.9,3.1,1.13,0.0039,,0.08,,,,,0.00128,,0.0154,,,0.00021,9e-05,0.0034,,,0.169
FCT_2014,04_0002,"Alligator weed, raw",Lal shak,মালঞ্চ শাক,Green Leafy Vegetables,57,84.7,4.9,1.2,6.6,,2.6,0.019,0.0005,,0.046,,,,,0.000475,,0.0057,,,,,,,,
FCT_2014,04_0003,"Amaranth, leaves, spiney, raw",Danta shak,কাঁটা নটে শাক,Green Leafy Vegetables,51,81.8,4.8,0.3,5.2,4.4,3.6,0.64,0.0144,0.265,0.072,0.679,0.056,0.00032,0.00036,0.000908,,0.0109,,,3e-05,6e-05,0.0016,0.000192,8.5e-05,0.0434
FCT_2014,04_0004,"Amaranth, leaves, red, raw",Palong shak,লাল শাক,Green Leafy Vegetables,32,88.8,4.5,0.3,0.5,4.2,1.7,0.256,0.006,0.181,0.032,0.261,0.059,0.00096,0.00022,0.000793,,0.00952,,,3e-05,0.00013,0.0016,0.000192,8.5e-05,0.042
FCT_2014,04_0032,"Amaranth, leaves, red, boiled (without salt)",Palong shak siddho,লাল শাক সিদ্ধ (লবণ ছাড়া),Green Leafy Vegetables,37,86.8,5.3,0.4,0.6,5,2,0.287,0.0053,0.129,0.034,0.154,0.053,0.00085,0.00025,0.000842,,0.0101,,,2e-05,0.0001,0.0012,0.000147,5e-05,0.0198
FCT_2014,04_0005,"Amaranth, leaves, green, raw",Pui shak,সবুজ ডাঁটা শাক,Green Leafy Vegetables,25,91,2,0.3,1.5,4.4,0.9,0.171,0.0084,0.181,0.047,0.321,0.036,0.00098,0.00012,0.000743,,0.00892,,,3e-05,0.00018,0.0016,0.000192,8.5e-05,0.0371
FCT_2014,04_0033,"Amaranth, leaves, green, boiled (without salt)",Shorshe shak,সবুজ ডাঁটা শাক সিদ্ধ (লবণ ছাড়া),Green Leafy Vegetables,30,89.3,2.3,0.3,1.7,5.1,1.1,0.192,0.0074,0.129,0.05,0.19,0.032,0.00086,0.00014,0.000789,,0.00946,,,2e-05,0.00014,0.0012,0.000147,5e-05,0.0175
FCT_2014,04_0006,"Dock leaves, raw",Kolmi shak,চুকাই শাক বা চুকুর শাক,Green Leafy Vegetables,46,86.4,3.1,0.7,5.9,1.8,2.1,0.074,0.0067,0.082,0.048,0.602,0.014,0.00043,0.00013,0.000217,,0.0026,,,0.00011,0.00017,0.0016,0.000262,0.000125,0.0175
FCT_2014,04_0007,Beet greens leaves,Lau shak,বিটের শাক,Green Leafy Vegetables,31,88.7,2.8,0.5,2.1,3.7,2.3,0.249,0.0026,0.07,0.036,0.762,0.226,0.00041,0.00014,0.000463,,0.00556,,0.0015,0.00018,0.00039,0.0038,0.000106,1.5e-05,0.0471
FCT_2014,04_0008,"Bengal dayflower, leaves, raw",Methi shak,বট বা বথুয়া শাক,Green Leafy Vegetables,22,92.3,2,0.3,2.2,1.4,1.7,0.113,0.0071,0.077,0.019,0.473,0.021,0.00063,9e-05,0.000318,,0.00381,,,4e-05,,,,,0.02
FCT_2014,04_0009,"Bitter gourd leaves, green, raw",Ful kopi pata,করলা শাক,Green Leafy Vegetables,55,84,4.9,0.5,6.1,3.1,1.4,0.11,0.0052,0.167,0.09,0.724,0.031,0.00095,0.00059,0.000357,,0.00428,,,0.00012,0.00029,0.0014,0.000803,0.000128,0.0783
FCT_2014,04_0010,"Bottle gourd leaves, raw",Dhoney pata,লাউ শাক,Green Leafy Vegetables,26,90.2,2.5,0.6,0.6,4.4,1.7,0.094,0.0031,0.069,0.028,0.276,0.041,0.00049,0.00015,0.000198,,0.00237,,,7e-05,0.00017,0.0014,0.000188,7.3e-05,0.0477
FCT_2014,04_0011,"Bugleweed, raw",Pui shak,সাবারাং,Green Leafy Vegetables,43,88.6,2.6,1.3,4.6,1.3,1.7,0.049,0.0028,,0.052,0.268,,0.00052,,3.9e-05,,0.000467,,,,,,,,0.0131
FCT_2014,04_0012,"Cassava, leaves, raw",Pui shak siddho,শিম আলু শাক,Green Leafy Vegetables,62,82.4,4.7,1.2,5.7,4.8,1.3,0.201,0.0049,0.054,0.036,0.303,0.022,0.00045,0.00081,0.000356,,0.00427,,,0.00016,0.0003,0.0011,0.0002,7.7e-05,0.0273
FCT_2014,04_0013,"Colocasia leaves, black, raw",Lal shak,কালো কচু শাক,Green Leafy Vegetables,62,81.8,5.6,1.2,5.3,3.7,2.4,0.392,0.0021,0.13,0.039,0.763,0.048,0.00098,0.00025,0.000699,,0.00839,,0.00336,6e-05,0.00045,0.0026,0.000146,0.000126,0.063
FCT_2014+BD,04_0014,"Colocasia leaves, green, raw",Kochu pata,সবুজ কচু শাক,Green Leafy Vegetables,51,84.7,4,1.1,4.4,3.7,2.1,0.235,0.0049,0.061,0.04,0.764,0.047,0.00068,0.00019,0.000596,,0.00715,,0.00202,0.00022,0.00026,0.0026,0.00015,0.000126,0.0481
FCT_2014,04_0015,"Cowpea, leaves, raw",Kolmi shak,বরবটি পাতা,Green Leafy Vegetables,34,89,3.4,0.7,1.7,3.6,1.6,0.29,0.0051,0.06,0.061,0.475,0.044,0.0005,0.00027,0.00015,,0.0018,,,5e-05,0.00018,0.0016,0.00024,0.000129,0.057
FCT_2014,04_0016,"Dima leaves, raw",Kolmi shak siddho,গিমা শাক বা গিমে শাক,Green Leafy Vegetables,33,91.1,1.7,1,3.6,1,1.6,,,,,,,,,,,,,,,,,,,0.007
FCT_2014,04_0017,"Drumstick, leaves, raw",Dima pata,সজিনা পাতা,Green Leafy Vegetables,72,79.7,6.7,1.8,4.6,5.2,2,0.44,0.0009,0.042,0.07,0.259,0.03,0.00016,7e-05,0.0011,,0.01316,,,0.00026,0.00066,0.0026,0.0012,0.000205,0.22
FCT_2014,04_0018,"Fern, leaves, raw",Jute pata,ঢেঁকি শাক,Green Leafy Vegetables,68,82.3,1.3,0.6,13.7,1,1.1,,,,,,,,,,,,,,,,,,,
FCT_2014,04_0019,"Fenugreek, leaves, raw",Methi shak,মেথি শাক,Green Leafy Vegetables,50,86.1,4.4,0.9,5,2.1,1.5,0.395,0.0019,0.041,0.051,0.031,0.076,0.00034,0.0001,0.000758,,0.0091,,,0.00012,0.00031,0.0017,0.000268,0.000104,0.052
FCT_2014,04_0020,"Indian spinach, raw",Betel pata,পুঁই শাক,Green Leafy Vegetables,25,91.8,2.4,0.3,2.1,2.2,1.2,0.111,0.0022,0.179,0.031,0.187,0.069,0.00035,6e-05,0.00017,,0.00203,,,2e-05,0.00036,0.0005,0.00024,0.00014,0.0518
FCT_2014,04_0036,"Indian spinach, boiled (without salt)",Moringa pata,পুঁই শাক সিদ্ধ (লবণ ছাড়া),Green Leafy Vegetables,33,89.2,3.1,0.4,2.8,2.9,1.6,0.14,0.0022,0.142,0.037,0.123,0.069,0.00035,8e-05,0.000201,,0.00241,,,2e-05,0.00031,0.0004,0.00021,9.2e-05,0.0273
FCT_2014,04_0021,"Jute leaves, raw",Koche pata,পাট শাক,Green Leafy Vegetables,32,87.6,2.9,0.3,1.7,5.8,1.8,0.12,0.0097,0.042,0.06,0.225,0.06,0.00147,2e-05,0.000305,,0.00366,,,0.0001,0.00055,0.0016,0.0006,0.000123,0.0544
FCT_2014,04_0022,"Pumpkin leaves, raw",Koche pata (shada),মিষ্টি কুমড়ার শাক,Green Leafy Vegetables,29,90.8,2.4,0.4,2.8,2.1,1.4,0.04,0.0022,0.038,0.104,0.436,0.011,0.0002,0.00013,0.000162,,0.00194,,,0.00012,0.00024,0.0015,0.000207,3.6e-05,0.0372
FCT_2014,04_0023,"Radish leaves, raw",Koche pata (kalo),মুলা শাক,Green Leafy Vegetables,32,90.7,1.8,0.7,3.4,2.6,0.8,0.147,0.0028,0.02,0.041,0.26,0.07,0.00048,7e-05,0.000156,,0.00187,,,8e-05,9e-05,0.0016,0.000179,7e-05,0.0689
FCT_2014,04_0024,"Slender amaranth leaves, raw",Kanta-notya shaak,নটে শাক,Green Leafy Vegetables,47,83.9,4.1,0.5,4.3,4.4,2.8,0.227,0.0054,0.032,0.05,0.67,0.056,0.0012,0.00022,0.000973,,0.01168,,,3e-05,0.00016,0.0016,0.000192,8.5e-05,0.179
FCT_2014,04_0034,"Slender amaranth leaves, boiled (without salt)",Shorshe shak siddho,নটে শাক সিদ্ধ (লবণ ছাড়া),Green Leafy Vegetables,55,81.1,4.8,0.6,5.1,5.1,3.3,0.255,0.0048,0.023,0.053,0.395,0.05,0.00106,0.00025,0.00103,,0.0124,,,2e-05,0.00012,0.0012,0.000147,5e-05,0.0844
FCT_2014,04_0025,"Spinach, raw",Palong shak,পালং শাক,Green Leafy Vegetables,26,90.8,3,0.5,0.9,2.9,2,0.09,0.0022,0.052,0.045,0.471,0.171,0.0009,0.0001,0.000409,,0.00491,,0.00203,3e-05,9e-05,0.0014,0.000195,0.000194,0.0212
FCT_2014,04_0035,"Spinach, boiled (without salt)",Pudina pata,পালং শাক সিদ্ধ (লবণ ছাড়া),Green Leafy Vegetables,47,83.1,5.4,0.9,1.6,5.3,3.6,0.157,0.0031,0.057,0.074,0.43,0.235,0.00123,0.00016,0.000672,,0.00806,,0.0037,4e-05,0.00011,0.0017,0.000231,0.000177,0.0155
FCT_2014,04_0026,"Sweet potato leaves, raw",Pui shak (lal),মিষ্টি আলুর শাক,Green Leafy Vegetables,45,84,4,0.8,1.8,7.3,2.1,0.194,0.0027,0.05,0.081,0.497,0.047,0.00032,0.00019,0.000308,,0.0037,,,0.0001,0.00014,0.0021,0.000137,8e-05,0.027
FCT_2014,04_0027,"Sweet potato leaves, SP4, dark green, mature, raw",Malabar shak,মিষ্টি আলু (SP4) শাক,Green Leafy Vegetables,45,83.3,3.9,0.4,2.8,7.7,2,0.198,0.0028,0.065,0.085,0.69,0.067,0.00036,0.00015,0.000448,,0.00538,,,4e-05,0.0001,0.0022,4.9e-05,8.4e-05,0.0009
FCT_2014,04_0028,"Sweet potato leaves, SP7, dark green, mature, raw",Neem pata,মিষ্টি আলু (SP7) শাক,Green Leafy Vegetables,45,82.4,4.9,0.3,1.2,8.5,2.7,0.117,0.0029,0.038,0.089,0.347,0.063,0.00034,0.00019,0.000276,,0.00331,,,0.00023,0.00011,0.0023,0.00032,8.8e-05,0.0033
FCT_2014,04_0029,"Sweet potato leaves, SP8, light green, mature, raw",Dhoney pata,মিষ্টি আলু (SP8) শাক,Green Leafy Vegetables,50,82.6,3.6,0.4,3.9,8,1.6,0.106,0.0029,0.047,0.088,0.53,0.051,0.00026,0.00024,0.000118,,0.001421,,,5e-05,0.00011,0.0023,4e-05,8.7e-05,0.0024
FCT_2014,04_0030,"Water spinach, raw",Katali shak,কলমি শাক,Green Leafy Vegetables,43,87.1,1.9,0.4,6,3.7,0.9,0.107,0.0022,0.019,0.036,0.207,0.107,0.00051,6e-05,0.000199,,0.00238,,,0.00014,0.0004,0.0009,9.6e-05,5.7e-05,0.0304
FCT_2014,04_0031,"Watercress, raw",Palong shak,হেলেঞ্চা শাক,Green Leafy Vegetables,49,87.4,2,0.5,8.8,0.5,0.8,0.031,0.0019,0.027,0.052,0.23,0.049,0.00052,2e-05,0.00053,,0.00636,,0.00146,4e-05,0.00016,0.001,0.000129,4.5e-05,0.043
FCT_2014,05_0001,"Colocasia/Taro, corm, raw",Kochu,কচুর মুখি,Roots and Tubers,103,71.1,2.2,0.2,21,4.1,1.4,0.035,0.0007,0.033,0.084,0.591,0.011,0.00023,0.00017,4e-06,,4.5e-05,,0.00238,0.00012,3e-05,0.0011,0.000283,2.2e-05,0.0061
FCT_2014,05_0011,"Colocasia/Taro, boiled (without salt)",Alu siddho,কচুর মুখি সিদ্ধ (লবণ ছাড়া),Roots and Tubers,115,67.5,2.5,0.2,23.6,4.6,1.6,0.04,0.0008,0.035,0.088,0.53,0.012,0.00023,0.00017,4e-06,,4.8e-05,,0.00267,0.0001,3e-05,0.0009,0.000238,1.6e-05,0.0048
FCT_2014,05_0002,"Colocasia/Taro/Tannia, cormel, raw",Kochu siddho,দুধ কচু,Roots and Tubers,101,71.9,2.2,0.2,20.6,4.1,1,0.04,0.0009,0.033,0.033,0.591,0.009,0.00023,0.00017,,,,,0.00238,0.00015,3e-05,0.0011,0.000283,2.2e-05,0.0062
FCT_2014,05_0017,"Colocasia/Taro/Tannia, cormel, boiled (without salt)",Olkopi,দুধ কচু  সিদ্ধ (লবণ ছাড়া),Roots and Tubers,113,68.5,2.4,0.2,23.1,4.6,1.2,0.046,0.0011,0.035,0.034,0.53,0.01,0.00023,0.00017,,,,,0.00267,0.00013,3e-05,0.0009,0.000238,1.6e-05,0.0049
FCT_2014,05_0003,"Elephant foot, corm, raw",Ol,ওল কচু,Roots and Tubers,74,78.7,1.2,0.1,15.1,4.1,0.8,0.05,0.0006,0.033,0.084,0.591,0.009,0.00023,0.00017,,,,,0.00143,6e-05,7e-05,0.0011,0.000283,2.2e-05,0.0045
FCT_2014,05_0018,"Elephant foot, corm, boiled (without salt)",Olkopi siddho,ওল কচু সিদ্ধ (লবণ ছাড়া),Roots and Tubers,83,76.1,1.3,0.1,16.9,4.6,0.9,0.056,0.0007,0.035,0.088,0.53,0.01,0.00023,0.00017,,,,,0.00267,5e-05,7e-05,0.0009,0.000238,1.6e-05,0.0035
FCT_2014,05_0004,"Giant taro, corm, raw",Kochu mukhi siddho,মানকচু,Roots and Tubers,82,76.7,1.5,0.2,16.6,4.1,1,0.046,0.001,0.033,0.072,0.591,0.009,0.00023,0.00017,,,,,0.00238,9e-05,3e-05,0.0011,0.000283,2.2e-05,0.0066
FCT_2014,05_0019,"Giant taro, corm, boiled (without salt)",Kacha kola,মানকচু সিদ্ধ (লবণ ছাড়া),Roots and Tubers,92,73.9,1.6,0.2,18.6,4.6,1.1,0.052,0.0011,0.035,0.075,0.53,0.01,0.00023,0.00017,,,,,0.00267,8e-05,3e-05,0.0009,0.000238,1.6e-05,0.0052
FCT_2014,05_0005,"Potato, Diamond, raw",Mishti alu (shada),ডায়মন্ড প্রজাতির খোসা ছাড়া আলু,Roots and Tubers,66,81.7,1.2,0.2,14,2.1,0.9,0.011,0.0005,0.021,0.04,0.286,0.016,0.00079,0.00043,2e-06,,2.7e-05,,2e-05,8e-05,9e-05,0.0008,0.000277,1.8e-05,0.0191
FCT_2014,05_0012,"Potato, Diamond, boiled (without salt)",Begun,গোল আলু সিদ্ধ (লবণ ছাড়া),Roots and Tubers,67,81.5,1.2,0.2,14.2,2.1,0.9,0.014,0.0006,0.02,0.038,0.232,0.015,0.00072,0.00039,2e-06,,2.6e-05,,2e-05,6e-05,8e-05,0.0006,0.00021,1.1e-05,0.0135
