source,code,name,lang,lang_bn,grup,enerc_kcal,water,protcnt,fatce,cho,fibtg,ash,ca,fe,mg,p,k,na,zn,cu,vita,retol,cartbeq,vitd,vite,thia,ribf,nia,vitb6c,folsum,vitc
FCT_2014,01_0016,"Rice, BR-3, parboiled, milled, raw",BR-3 siddho chal,বিআর-৩ আধা সিদ্ধ চাল,Cereals and Millets,344,12,7.1,0.2,76.8,3.4,0.5,0.002,0.0007,0.043,0.126,0.146,0.002,0.00132,0.0002,,,,,4e-05,,2e-05,0.0006,0.000169,1.1e-05,
FCT_2014,01_0017,"Rice, BRRI Dhan-30, parboiled, milled, raw",BRRI Dhan-30 chal,বিআরআরআই ধান-৩০ সিদ্ধ চাল,Cereals and Millets,349,10.9,6.9,0.3,77.9,3.4,0.6,0.002,0.0007,0.044,0.128,0.148,0.002,0.00134,0.0002,,,,,8e-05,0.00011,6e-05,0.0018,0.000169,1.1e-05,
FCT_2014,01_0018,"Rice, BRRI Dhan-40, parboiled, milled, raw",BRRI Dhan-40 chal,বিআরআরআই ধান-৪০ সিদ্ধ চাল,Cereals and Millets,349,10.8,7,0.3,77.9,3.4,0.6,0.002,0.0007,0.044,0.128,0.148,0.002,0.00134,0.0002,,,,,8e-05,9e-05,6e-05,0.0012,0.000172,1.1e-05,
FCT_2014,01_0019,"Rice, bran, raw",Chaler kura,চালের কুঁড়া,Cereals and Millets,398,6.1,13.4,20.9,28.6,21,10,0.059,0.0185,0.994,1.379,1.155,0.005,0.00604,0.00073,,,,,0.00492,0.00226,0.00022,0.0418,0.00407,6.3e-05,
FCT_2014,01_0020,"Rice, brown, parboiled, home-pounded, raw",Dheki chata siddho chal,ঢেঁকি ছাঁটা  সিদ্ধ চাল,Cereals and Millets,348,12.6,7.6,2.3,72.4,3.8,1.3,0.01,0.0028,0.052,0.246,0.202,0.005,0.0019,0.00036,,,,,0.00068,0.00027,7e-05,0.005,0.00062,4.9e-05,
FCT_2014,01_0038,"Rice, brown, home-pounded, boiled (without salt)",Dheki chata vat,ঢেঁকি ছাঁটা  সিদ্ধ চাাউলের ভাত,Cereals and Millets,112,72,2.4,0.7,23.2,1.2,0.4,0.006,0.001,0.018,0.075,0.052,0.004,0.00058,0.00012,,,,,0.00022,4e-05,2e-05,0.0016,0.0001,1.1e-05,
FCT_2014,01_0021,"Rice, brown, parboiled, milled, raw",Lal chal,কোলেছাঁটা সিদ্ধ লাল চাল,Cereals and Millets,350,12.4,7.8,2.4,72.3,3.8,1.3,0.012,0.001,0.052,0.255,0.326,0.005,0.0019,0.00036,,,,,0.00068,0.00027,7e-05,0.0068,0.00062,4.9e-05,
FCT_2014,01_0039,"Rice, brown, parboiled, milled, boiled (without salt)",Lal chaler vat,কোলেছাঁটা সিদ্ধ লাল চাউলের ভাত,Cereals and Millets,112,71.9,2.5,0.8,23.2,1.2,0.4,0.007,0.0004,0.018,0.078,0.084,0.004,0.00058,0.00012,,,,,0.00022,4e-05,2e-05,0.0016,0.0001,1.1e-05,
FCT_2014,01_0022,"Rice, popped",Khoi,খই,Cereals and Millets,380,3.9,7.1,0.1,87,1.4,0.4,0.01,0.0007,0.047,0.138,0.16,0.005,0.00087,0.00021,,,,,0.0001,0.00021,0.00027,0.0035,,1.2e-05,
FCT_2014,01_0023,"Rice, puffed, salted",Muri,মুড়ি,Cereals and Millets,361,7.3,6.7,0.1,82.7,1.4,1.8,0.009,0.0007,0.045,0.133,0.154,0.65,0.00084,0.0002,,,,,0.0001,0.00021,0.00012,0.0035,,1.2e-05,
FCT_2014,01_0024,"Rice, white, sunned, aromatic, raw",Sugandhi atok chal,সুগন্ধি ও সরু দানা বিশিষ্ট আতপ চাল,Cereals and Millets,343,12.8,6.7,0.7,76.1,3.1,0.7,0.01,0.0009,0.043,0.126,0.113,0.005,0.00109,0.00014,,,,,0.00011,6e-05,4e-05,0.0024,,9e-06,
FCT_2014,01_0040,"Rice, white, sunned, aromatic, boiled (without salt)",Sugandhi atok vat,সুগন্ধি ও সরু দানা বিশিষ্ট আতপ চাউলের ভাত,Cereals and Millets,110,72,2.2,0.2,24.4,1,0.2,0.006,0.0004,0.015,0.038,0.02,0.003,0.00033,4e-05,,,,,4e-05,1e-05,1e-05,0.0006,,2e-06,
FCT_2014,01_0025,"Rice, white, sunned, polished, milled, raw",Chowl,আতপ চাল,Cereals and Millets,345,12.2,6.6,0.3,77.4,3.1,0.4,0.005,0.0009,0.043,0.126,0.109,0.005,0.00109,0.00014,,,,,0.0001,9e-05,3e-05,0.0025,,6e-06,
FCT_2014,01_0041,"Rice, white, sunned, polished, milled, boiled (without salt)",Atok chaler vat,আতপ চালের ভাত,Cereals and Millets,111,71.9,2.1,0.1,24.8,1,0.1,0.005,0.0004,0.015,0.038,0.019,0.004,0.00033,4e-05,,,,,3e-05,1e-05,5e-06,0.0006,,1e-06,
FCT_2014,01_0042,Ruti,Ruti,রুটি,Cereals and Millets,246,37.3,7.5,1.2,49.7,3.1,1.1,0.011,0.0027,0.042,0.099,0.149,0.231,0.0011,0.00013,,,,,0.0003,7e-05,4e-05,0.0013,6.3e-05,7e-06,
FCT_2014,01_0026,"Semolina, wheat, raw",Suji,সুজি বা গম,Cereals and Millets,346,12.8,10.9,1.4,70.6,3.9,0.5,0.017,0.0011,0.04,0.105,0.158,0.005,0.00218,0.00025,,,,,0.0001,0.00018,5e-05,0.004,8.5e-05,5.7e-05,
